index,Year,Month,State,Species,Location,normalized_food,Illnesses,Hospitalizations,Fatalities,Are_there_Hospitalizations,Are_there_Fatalities,Log_Illnesses,Most_common_Location,Most_common_Species
18657,2015,August,OH,salmonella enterica,restaurant - sit-down dining,latin style soft cheese,2.0,0.0,0.0,0,0,0.6931471805599453,restaurant - sit-down dining,salmonella enterica
18658,2015,March,MUL_STATE,salmonella enterica,unknown,latin style soft cheese,25.0,3.0,0.0,1,0,3.2188758248682006,unknown,salmonella enterica
18659,2015,September,OH,salmonella enterica,private home/residence,ice,41.0,0.0,0.0,0,0,3.713572066704308,private home/residence,salmonella enterica
18660,2015,August,NV,salmonella enterica,camp,ice,4.0,1.0,0.0,1,0,1.3862943611198906,bulk_Location,salmonella enterica
18661,2015,August,FL,ciguatoxin,private home/residence,barracuda,2.0,0.0,0.0,0,0,0.6931471805599453,private home/residence,bulk_Species
18662,2015,September,OH,campylobacter,office/indoor workplace,vietnamese sandwich chicken bbq pork,10.0,0.0,0.0,0,0,2.302585092994046,bulk_Location,bulk_Species
18663,2015,August,MD,campylobacter jejuni,restaurant - sit-down dining,chicken liver,2.0,0.0,0.0,0,0,0.6931471805599453,restaurant - sit-down dining,campylobacter jejuni
18664,2015,September,IL,clostridium perfringens; staphylococcus aureus,caterer (food prepared off-site from where served),fish amberjack,7.0,0.0,0.0,0,0,1.9459101490553132,caterer (food prepared off-site from where served),bulk_Species
18665,2015,August,WY,campylobacter jejuni,private home/residence,fish amberjack,6.0,0.0,0.0,0,0,1.791759469228055,private home/residence,campylobacter jejuni
18666,2015,August,FL,ciguatoxin,private home/residence,fish amberjack,3.0,0.0,0.0,0,0,1.0986122886681098,private home/residence,bulk_Species
18667,2015,July,MI,"escherichia coli, shiga toxin-producing",private home/residence,fish kingfish,3.0,3.0,0.0,1,0,1.0986122886681098,private home/residence,"escherichia coli, shiga toxin-producing"
18668,2015,September,FL,ciguatoxin,private home/residence,fish kingfish,2.0,1.0,0.0,1,0,0.6931471805599453,private home/residence,bulk_Species
18669,2015,September,FL,ciguatoxin,restaurant - sit-down dining,milk unpasteurized,2.0,0.0,0.0,0,0,0.6931471805599453,restaurant - sit-down dining,bulk_Species
18670,2015,August,KS,campylobacter,restaurant - buffet,milk unpasteurized,3.0,0.0,0.0,0,0,1.0986122886681098,bulk_Location,bulk_Species
18671,2015,August,KS,campylobacter,restaurant - sit-down dining,milk unpasteurized,2.0,0.0,0.0,0,0,0.6931471805599453,restaurant - sit-down dining,bulk_Species
18672,2015,June,MI,campylobacter,other,milk unpasteurized,6.0,1.0,0.0,1,0,1.791759469228055,other,bulk_Species
18673,2015,September,MN,clostridium perfringens,restaurant - sit-down dining,goulash,8.0,0.0,0.0,0,0,2.0794415416798357,restaurant - sit-down dining,clostridium perfringens
18674,2015,September,MN,clostridium perfringens,banquet facility (food prepared and served on-site),ground beef,20.0,0.0,0.0,0,0,2.995732273553991,banquet facility (food prepared and served on-site),clostridium perfringens
18675,2015,August,TN,clostridium perfringens,restaurant - sit-down dining,pork bbq,10.0,0.0,0.0,0,0,2.302585092994046,restaurant - sit-down dining,clostridium perfringens
18676,2015,August,SC,clostridium perfringens,other,pork bbq,45.0,0.0,0.0,0,0,3.8066624897703196,other,clostridium perfringens
18677,2015,September,MN,norovirus genogroup i,restaurant - sit-down dining,yogurt,5.0,0.0,0.0,0,0,1.6094379124341003,restaurant - sit-down dining,norovirus genogroup i
18678,2015,September,SC,clostridium perfringens,"fair, festival, other temp or mobile services",yogurt,12.0,0.0,0.0,0,0,2.4849066497880004,bulk_Location,clostridium perfringens
18679,2015,September,OH,bacillus cereus; clostridium perfringens,"fair, festival, other temp or mobile services",buffalo chicken melt,23.0,0.0,0.0,0,0,3.1354942159291497,bulk_Location,bulk_Species
18680,2015,May,CA,norovirus,restaurant - sit-down dining,pulled pork,5.0,0.0,0.0,0,0,1.6094379124341003,restaurant - sit-down dining,norovirus
18681,2015,April,CA,norovirus,banquet facility (food prepared and served on-site),pulled pork,28.0,0.0,0.0,0,0,3.332204510175204,banquet facility (food prepared and served on-site),norovirus
18682,2015,July,CA,norovirus,restaurant - sit-down dining,pulled pork,3.0,0.0,0.0,0,0,1.0986122886681098,restaurant - sit-down dining,norovirus
18683,2015,May,CA,norovirus,restaurant - sit-down dining,pulled pork,6.0,1.0,0.0,1,0,1.791759469228055,restaurant - sit-down dining,norovirus
18684,2015,August,CA,norovirus,restaurant - sit-down dining,pulled pork,4.0,0.0,0.0,0,0,1.3862943611198906,restaurant - sit-down dining,norovirus
18685,2015,July,CA,clostridium perfringens,"fair, festival, other temp or mobile services",pulled pork,3.0,0.0,0.0,0,0,1.0986122886681098,bulk_Location,clostridium perfringens
18686,2015,September,IL,clostridium perfringens,caterer (food prepared off-site from where served),pulled pork,22.0,0.0,0.0,0,0,3.091042453358316,caterer (food prepared off-site from where served),clostridium perfringens
18687,2015,June,CA,norovirus,private home/residence,chicken rotisserie,19.0,0.0,0.0,0,0,2.9444389791664403,private home/residence,norovirus
18688,2015,April,CA,norovirus,caterer (food prepared off-site from where served),chicken rotisserie,2.0,0.0,0.0,0,0,0.6931471805599453,caterer (food prepared off-site from where served),norovirus
18689,2015,July,HI,salmonella enterica,grocery store,chicken rotisserie,3.0,0.0,0.0,0,0,1.0986122886681098,grocery store,salmonella enterica
18690,2015,July,HI,salmonella enterica,restaurant - sit-down dining,eel raw,2.0,0.0,0.0,0,0,0.6931471805599453,restaurant - sit-down dining,salmonella enterica
18691,2015,August,HI,salmonella enterica,"restaurant - ""fast-food""(drive up service or pay at counter)",chicken katsu plate korean chicken,3.0,0.0,0.0,0,0,1.0986122886681098,"restaurant - ""fast-food""(drive up service or pay at counter)",salmonella enterica
18692,2015,June,SC,salmonella enterica,restaurant - sit-down dining,lobster salad,7.0,1.0,0.0,1,0,1.9459101490553132,restaurant - sit-down dining,salmonella enterica
18693,2015,September,MA,salmonella enterica,"restaurant - ""fast-food""(drive up service or pay at counter)",flavored drink,12.0,0.0,0.0,0,0,2.4849066497880004,"restaurant - ""fast-food""(drive up service or pay at counter)",salmonella enterica
18694,2015,September,FL,other - chemical/toxin,other,flavored drink,7.0,0.0,0.0,0,0,1.9459101490553132,other,bulk_Species
18695,2015,September,KY,norovirus genogroup i,school/college/university,pork bbq,3.0,0.0,0.0,0,0,1.0986122886681098,school/college/university,norovirus genogroup i
18696,2015,September,MN,norovirus genogroup i,restaurant - sit-down dining,pork bbq,4.0,0.0,0.0,0,0,1.3862943611198906,restaurant - sit-down dining,norovirus genogroup i
18697,2015,August,CT,salmonella enterica,restaurant - buffet,pork bbq,3.0,1.0,0.0,1,0,1.0986122886681098,bulk_Location,salmonella enterica
18698,2015,September,IL,norovirus genogroup ii,restaurant - sit-down dining,pork bbq,9.0,0.0,0.0,0,0,2.1972245773362196,restaurant - sit-down dining,norovirus genogroup ii
18699,2015,September,MI,norovirus,restaurant - sit-down dining,pork bbq,30.0,0.0,0.0,0,0,3.4011973816621555,restaurant - sit-down dining,norovirus
18700,2015,April,NC,salmonella,banquet facility (food prepared and served on-site),pork bbq,10.0,0.0,0.0,0,0,2.302585092994046,banquet facility (food prepared and served on-site),bulk_Species
18701,2015,April,NC,salmonella enterica,banquet facility (food prepared and served on-site),pork bbq,6.0,0.0,0.0,0,0,1.791759469228055,banquet facility (food prepared and served on-site),salmonella enterica
